question_id,question_text,question_tip,answer_type
2,"Соединены ли населенные пункты дорогой, предназначенной для автомобилей?",None,discrete
3,Есть ли в обоих населенных пунктах аэропорты?,None,discrete
4,Соединены ли населенные пункты водоемами?,None,discrete
5,Оцените по шкале от 0 до 10 на сколько вам важно время.,None,range
6,Оцените по шкале от 0 до 10 на сколько вы переживаете о своей личной безопасности.,None,range
7,Оцените по шкале от 0 до 10 на сколько низкой должна быть цена переезда.,None,range
8,Оцените по шкале от 0 до 10 на сколько вам важна гибкость маршрута.,"Возможно, ваша поездка не является до конца спланированной, или же она может быть гипотетически отменена прямо в пути.",range
9,Оцените по шкале от 0 до 10 на сколько вам важно личное пространство.,None,range
10,Оцените по шкале от 0 до 10 на сколько вы маломобильны.,None,range
1,Соединены ли населенные пункты железной дорогой?,"",discrete
